,Name,Weighted Avg.,IPCE,Abs. Max,PCE(%),Comp. IPCE,Comp. Jsc,Comp. Voc_h,Comp. Voc_l,Comp. PCE Voc_l FF_l,Comp. PCE Voc_l FF_h,Comp. PCE Voc_h FF_l,Comp. PCE Voc_h FF_h,Exp. PCE Voc_l FF_l,Exp. PCE Voc_l FF_h,Exp. PCE Voc_h FF_l,Exp. PCE Voc_h FF_h
0,AP25,2.318090307583171,1.3786933000416146,1.8800363182385653,6.8,1.66397922950138,25.92725924871998,1.9180903075831712,1.718090307583171,26.727223690453155,33.409029613066444,29.838494800299554,37.29811850037444,28.800817160367718,36.001021450459646,33.30081716036772,41.626021450459646
1,AP3,2.1429490914887133,1.5510299625468165,1.908959953903774,5.0,1.4888380134069221,32.506328368023595,1.7429490914887134,1.5429490914887132,30.093365893845473,37.616707367306844,33.994125298008306,42.49265662251038,23.56127917026793,29.451598962834915,27.161279170267935,33.95159896283492
2,BTD-1,2.4649911209453657,1.6010631871451009,2.4093669321115594,8.2,1.8108800428635745,21.390371283593602,2.0649911209453657,1.8649911209453656,23.935711510576073,29.919639388220094,26.502556064607308,33.12819508075914,30.53306697938256,38.1663337242282,33.90806697938257,42.38508372422821
3,C258,2.397066870140346,1.5510299625468165,2.2767412294265195,8.9,1.742955792058555,23.393091308928938,1.9970668701403462,1.797066870140346,25.223369628866553,31.52921203608319,28.030540585938027,35.03817573242254,30.181342129677347,37.72667766209669,33.78134212967735,42.22667766209669
4,C271,2.8066456536845226,,2.4425668701524668,6.7,2.1525345756027314,13.233590209230783,2.4066456536845227,2.2066456536845225,17.521106590704694,21.901383238380866,19.10913741581239,23.886421769765487,,,,
5,C272,2.499322733604184,,2.4234843164794007,10.4,1.8452116555223927,20.43421304775062,2.099322733604184,1.8993227336041838,23.286699230942393,29.10837403867799,25.738804796672472,32.173505995840586,,,,
6,D1,2.3196638818611297,1.9853183520599251,2.176884157960444,4.6,1.6655528037793386,25.874420517704777,1.9196638818611298,1.7196638818611296,26.697183857030073,33.37147982128759,29.80211431915465,37.252642898943314,15.965952099349495,19.95744012418687,17.990952099349496,22.48869012418687
7,D3,2.270400994527869,1.908959953903774,2.207871832806856,5.23,1.6162899164460778,27.57741653021919,1.870400994527869,1.6704009945278688,27.639206399152453,34.54900799894057,30.948496382778757,38.685620478473446,18.088558119077128,22.610697648846408,20.338558119077128,25.42319764884641
8,DQ5,2.3955996473110934,1.5510299625468165,2.2684167642366604,7.1,1.7414885692293023,23.43807556198523,1.9955996473110935,1.7955996473110933,25.251240127650856,31.56405015956357,28.06380919508909,35.07976149386136,30.031501756259885,37.53937719532486,33.63150175625989,42.03937719532486
9,FNE32,2.034012431002401,1.4597929059264154,2.0819194128145186,3.7,1.37990135292061,37.440906232782815,1.6340124310024011,1.434012431002401,32.21443497948349,40.26804372435437,36.70734372741744,45.8841796592718,30.008868109494,37.5110851368675,34.058868109494,42.57358513686751
10,FNE34,2.269716184807744,1.3786933000416146,1.9853183520599251,5.3,1.615605106725953,27.601821983219697,1.8697161848077442,1.669716184807744,27.652325337338464,34.56540667167308,30.96454397532483,38.70567996915604,31.169662921348312,38.96207865168539,35.66966292134831,44.587078651685395
11,FNE52,2.482384568629583,1.6010631871451009,2.358980931630139,8.2,1.828273490547792,20.901464268852664,2.082384568629583,1.882384568629583,23.606756280870517,29.50844535108815,26.11493199313284,32.64366499141605,29.682803221258595,37.10350402657325,33.0578032212586,41.32225402657325
12,IQ21,2.554198863662851,1.531881444490683,2.227691149079808,9.0,1.9000877855810598,18.977630643707368,2.154198863662851,1.954198863662851,22.25163854336774,27.814548179209677,24.52895422061263,30.661192775765784,30.030901700522456,37.53862712565307,33.72090170052246,42.151127125653076
13,IQ4,2.8093985729386324,1.5510299625468165,2.345602967934694,9.2,2.1552874948568412,13.178368535465545,2.4093985729386325,2.2093985729386323,17.46976118155017,21.83720147693771,19.051165405806035,23.813956757257547,31.420853422824493,39.27606677853062,35.020853422824494,43.77606677853062
14,IQ6,2.6096801355058323,1.4949686385993413,2.28512701664356,7.8,1.9555690574240412,17.588090739886194,2.2096801355058324,2.0096801355058322,21.207861948854017,26.50982743606752,23.31843283764036,29.148041047050448,32.60720777205288,40.7590097150661,36.477207772052886,45.59650971506611
15,JW1,2.3140035742779586,1.5040290545908523,2.103091474639751,7.4,1.6598924961961674,26.06495478837978,1.9140035742779586,1.7140035742779585,26.8052554024058,33.50656925300725,29.933049977011372,37.41631247126422,28.74662445248524,35.93328056560655,32.57162445248524,40.71453056560655
16,NKX-2883,2.529194981375804,1.5510299625468165,2.247869510937415,7.3,1.875083903294013,19.630737904221082,2.129194981375804,1.929194981375804,22.722912627316248,28.40364078414531,25.07860117582278,31.348251469778475,29.66165119687347,37.07706399609184,33.26165119687347,41.577063996091844
17,NL11,2.3565832870126986,1.5510299625468165,2.176884157960444,7.3,1.7024722089309074,24.66274119754855,1.9565832870126987,1.7565832870126985,25.993295399719997,32.49161924965,28.952824343425824,36.19103042928228,28.383914843287993,35.47989355410999,31.98391484328799,39.97989355410999
18,NL2,2.2107993830627355,,1.998106231944369,3.9,1.5566883049809443,29.78190846236759,1.8107993830627356,1.6107993830627354,28.78360786656754,35.97950983320943,32.35743688205166,40.446796102564576,,,,
19,NL4,2.1275575428484705,,1.8886209589611158,2.47,1.4734464647666794,33.15926637181578,1.7275575428484706,1.5275575428484705,30.3916124769533,37.98951559619162,34.37072444157119,42.963405551963994,,,,
20,NL6,2.246663823759831,1.5131999634603088,2.0509487108057076,7.08,1.5925527456780397,28.435614145506573,1.846663823759831,1.6466638237598308,28.09433827187939,35.11792283984924,31.50661196934018,39.38326496167523,27.422930634227864,34.27866329278483,31.202930634227865,39.003663292784836
21,NL7,2.4171437845736756,,2.106662088348817,,1.7630327064918845,22.78506598892604,2.0171437845736757,1.8171437845736755,24.842244625726796,31.052805782158497,27.576452544397927,34.47056568049741,,,,
22,NL8,2.336134892763292,,1.9758343471933968,,1.682023814681501,25.32727714109724,1.9361348927632922,1.736134892763292,26.38294175000702,32.97867718750878,29.422215006938693,36.77776875867337,,,,
23,R4,2.213675497219161,1.6544319600499378,2.0241826591149317,11.1,1.5595644191373697,29.671659990988744,1.8136754972191609,1.6136754972191607,28.72825841356598,35.91032301695748,32.288857612484634,40.36107201560579,22.43087688106017,28.03859610132521,25.580876881060174,31.97609610132522
24,R6,2.089006755306758,1.5510299625468165,1.966440523038753,12.4,1.4348956772249668,34.856141969001484,1.689006755306758,1.4890067553067579,31.140618513464762,38.92577314183096,35.323355549744946,44.15419443718118,24.595929414697554,30.744911768371942,28.19592941469755,35.244911768371935
25,S-DAHTDTT,2.7261546675140744,1.8247411324080194,2.813659796003295,7.6,2.0720435894322833,14.913050201953938,2.3261546675140745,2.1261546675140743,19.024470776253644,23.780588470317056,20.814036800488115,26.017546000610146,27.89211342964152,34.8651417870519,30.412113429641522,38.0151417870519
26,S3,2.21890407750831,1.5040290545908523,1.9758343471933968,7.2,1.564792999426519,29.47227383233131,1.8189040775083103,1.6189040775083101,28.627670568361577,35.78458821045197,32.16434342824134,40.20542928530167,26.312831890073713,32.891039862592145,30.13783189007371,37.67228986259214
27,SGT-121,2.614736975830697,1.8382577333888197,2.6372454198458093,8.2,1.9606258977489057,17.46535168165328,2.214736975830697,2.0147369758306968,21.11285389734822,26.391067371685278,23.208696099146618,29.010870123933273,25.21091207059189,31.51364008823986,27.68591207059189,34.60739008823986
28,SGT-129,2.927898272348485,2.0175999512804115,2.9127323240315803,5.2,2.273787194266694,10.928103556683904,2.527898272348485,2.327898272348485,15.263708033789875,19.079635042237346,16.575080460591945,20.718850575739935,22.375685235005538,27.969606543756925,24.31068523500554,30.388356543756924
29,SGT-130,2.435256813549196,1.6544319600499378,2.411708396574253,10.5,1.7811457354674047,22.24827811655058,2.035256813549196,1.8352568135491958,24.498782401882153,30.62347800235269,27.168575775868224,33.96071971983528,28.53440724604448,35.6680090575556,31.684407246044483,39.60550905755561
30,SGT-136,2.257395049442013,1.5510299625468165,2.336768305155279,11.0,1.6032839713602218,28.044488322212565,1.857395049442013,1.6573950494420129,27.888477665621668,34.860597082027084,31.253816264287178,39.06727033035897,31.261829492795016,39.07728686599377,34.861829492795025,43.57728686599378
31,T-DAHTDTT,2.724147402341602,1.8382577333888197,2.8590414056162516,8.4,2.070036324259811,14.956601322484216,2.324147402341602,2.124147402341602,19.06201550820829,23.827519385260363,20.856807666906395,26.071009583632996,27.955637394501114,34.944546743126395,30.43063739450111,38.038296743126395
32,TH304,2.5692500146881394,1.3786933000416146,2.1845492430236852,3.0,1.9151389366063483,18.592713548874812,2.1692500146881395,1.9692500146881393,21.968220857528454,27.460276071910567,24.19934648339343,30.24918310424179,35.652357968032916,44.56544746004114,40.152357968032916,50.19044746004115
33,TP1,2.2723015769074744,1.5510299625468165,2.1356694837133445,4.4,1.6181904988256832,27.509791226894304,1.8723015769074745,1.6723015769074743,27.602800349478446,34.50350043684806,30.903975296705767,38.62996912088221,27.642050706840198,34.55256338355025,31.242050706840203,39.05256338355025
34,TPA-T-TTAR-A,2.8537265674530228,1.8382577333888197,2.532293816402966,6.2,2.1996154893712316,12.30821168631207,2.453726567453023,2.2537265674530227,16.643606205166368,20.804507756457962,18.120591607523817,22.650739509404772,23.9121359779867,29.890169972483378,26.387135977986702,32.98391997248338
35,TPA-TTAR-A,2.957851393538304,1.908959953903774,2.4916143976655687,4.8,2.303740315456513,10.395958315452628,2.557851393538304,2.357851393538304,14.707274880753657,18.384093600942073,15.954789878607972,19.943487348259968,21.280661973737647,26.60082746717206,23.53066197373765,29.413327467172063
36,TTAR-15,2.726491217895296,1.7726056714820757,2.4916143976655687,9.0,2.0723801398135047,14.905756412616315,2.326491217895296,2.1264912178952957,19.01817606450905,23.77272008063631,20.80686683402301,26.00858354252876,25.53679436848519,31.920992960606487,28.236794368485192,35.29599296060649
37,TTAR-9,2.816186532992912,1.7726056714820757,2.3907976301299674,8.4,2.162075454911121,13.04280756780276,2.416186532992912,2.216186532992912,17.343176690509505,21.678970863136882,18.90831359864584,23.635391998307302,24.17576800675457,30.219710008443215,26.875768006754573,33.594710008443215
38,WS-55,2.379858166735973,1.5510299625468165,2.223698871034862,9.5,1.725747088654182,23.925513399175383,1.9798581667359731,1.779858166735973,25.55041225012395,31.93801531265494,28.421473858025,35.52684232253125,29.226579678627516,36.5332245982844,32.82657967862752,41.0332245982844
39,WS-8,2.431162757128372,1.5510299625468165,2.2684167642366604,7.8,1.777051679046581,22.36865019183812,2.031162757128372,1.831162757128372,24.576383495115824,30.720479368894782,27.260621518136407,34.07577689767051,30.031501756259885,37.53937719532486,33.63150175625989,42.03937719532486
40,XY1,2.370370348471555,1.7726056714820757,2.247869510937415,9.1,1.716259270389764,24.223624226469344,1.9703703484715551,1.770370348471555,25.73087163783512,32.1635895472939,28.63770654501144,35.7971331812643,22.246238397655116,27.807797997068896,24.94623839765512,31.1827979970689
41,Y123,2.640756398021805,1.8382577333888197,2.4522212846589984,9.19,1.9866453199400138,16.84369012361953,2.240756398021805,2.040756398021805,20.624321031643944,25.78040128955493,22.64556384647829,28.306954808097863,22.921238397655102,28.651547997068878,25.396238397655107,31.74529799706888
42,ZL003,2.470919440668544,1.5040290545908523,2.3907976301299674,13.6,1.816808362586753,21.222682407906007,2.0709194406685443,1.870919440668544,23.823557460051394,29.77944682506424,26.370279349000118,32.962849186250146,34.24900467623562,42.811255845294525,38.074004676235624,47.59250584529453
