Name,"CAM-B3LYP/6-311G(d,p)_nndimethylformamide","bhandhlyp/6-311G(d,p)_nndimethylformamide","PBE1PBE/6-311G(d,p)_nndimethylformamide",Exp
CC3,3.4176829450709336,3.4021275774222777,3.069143362530493,3.291310265351335
QL4,3.2924455914173407,3.268164379691451,2.9723182341720236,3.2145698705633503
AP17,3.2192402709564476,3.1945419134891426,2.5474223860835847,3.2739418734497447
AP16,3.16351112876999,3.1386249052396753,2.589743848303076,3.2313124219725347
RR9,3.127234160082296,3.0920879414823528,2.6141321578339296,3.109834511372063
AP11,3.0976457798573365,3.0733243424913383,2.6102277595082843,3.291310265351335
AP14,3.0431744985467533,3.027950828564516,2.5351393810143086,3.109834511372063
SGT-129,2.9260575626973853,2.8547001565302836,2.0192087517492845,2.9127323240315803
TPA-TTAR-A,2.83869957227575,2.8047558093070832,2.2904418540950515,2.4916143976655687
TPA-T-TTAR-A,2.7448214175937995,2.697795299468307,2.1820905494468437,3.0044163923425016
IQ4,2.7299656121566778,2.6813552814362804,1.963173752135833,2.345602967934694
TTAR-9,2.7293651182030123,2.667750193578976,2.166696881395288,2.3907976301299674
TPA-T-TTAR-T-A,2.69363718666548,2.6216991063353405,2.088366719465217,3.0044163923425016
C271,2.6583768318567427,2.650427140373918,2.35674068383182,2.4425668701524668
T-DAHTDTT,2.6528070510058006,2.5866666042056567,2.0918874671883696,2.8590414056162508
S-DAHTDTT,2.650823495561651,2.5748043618880145,2.0553311524365228,2.8136597960032956
TTAR-15,2.61755119829013,2.5660716989710544,2.1370672213107595,2.4916143976655687
TTAR-B8,2.6141321578339296,2.567080374953354,2.1337964438057013,2.558399938221553
SGT-121,2.570537113458294,2.516373899893436,1.9565492518605672,2.6372454198458093
IQ6,2.5653289711125993,2.5077283145461866,1.8448170830173252,2.28512701664356
SGT-130,2.5323454969233112,2.449171920410266,1.8209653072855598,2.411708396574253
C272,2.530486326169987,2.453190925340951,2.018617465775355,2.4234843164794007
Y123,2.5160167285874104,2.493517081382286,2.093864276134751,2.4522212846589984
C218,2.511789413031282,2.4878676090976506,2.0359733694929085,2.2560435818862783
D-DAHTDTT,2.4970798938187055,2.41725233779602,1.9251609235217182,2.8264782916570685
BTD-1,2.495673625852196,2.4059565471030444,1.7710370386763912,2.4093669321115594
ZL003,2.472302636110409,2.4182887741910997,2.036808880560494,2.3907976301299674
IQ21,2.4471914839804616,2.4110991781230267,1.9404246865127657,2.227691149079808
FNE52,2.440501091669361,2.3818942105375918,1.8100742075789609,2.358980931630139
TH304,2.426232783304237,2.4307956941532205,1.8626236096453657,2.1845492430236852
C258,2.4037193584732046,2.3192537897187964,1.8641346844905629,2.709222642003173
SGT-136,2.376010512681104,2.286305958942831,1.7098775907251864,2.336768305155279
NKX-2883,2.3675328563965907,2.366133311793164,2.020326570880137,2.247869510937415
NL7,2.3558457756549327,2.3415749278886095,1.8999279885428548,2.106662088348817
WS-6,2.352674333132578,2.3056785529163317,1.8081750579797635,2.2684167642366604
JD21,2.3400293630246543,2.322509583419034,1.8818611532963072,2.131999948517961
DQ5,2.339058908983285,2.2835709922105623,1.8315826322402107,2.2684167642366604
XY1,2.330623535006486,2.2520717462610547,1.8438027995860933,2.247869510937415
NL12,2.3154884862981513,2.2908647257171797,1.8483896470094638,2.1961486195353155
YZ12,2.3068788020328945,2.238501867253799,1.8572706821497895,2.28512701664356
YZ15,2.3002502086229044,2.22665177841125,1.8409578048359125,2.2601529508878926
NL11,2.2850428530025657,2.265765776856061,1.823346808378083,2.176884157960444
NL13,2.2732375238851183,2.2549366130035313,1.8706829037199657,2.103091474639751
TP1,2.2729460351293316,2.243520657489021,1.8173115352492064,2.1356694837133445
HKK-BTZ4,2.2652280519879753,2.1919974032141836,1.6389385278334851,2.297822166736024
WS-55,2.2630797024156073,2.2023072841529467,1.7940834129109238,2.2236988710348617
D1,2.2602764632629344,2.2014086224384872,1.6248169628733002,2.176884157960444
NL8,2.252357905313947,2.2470553604445005,1.805386328969508,1.9758343471933968
ND2,2.250887004385323,2.220237210867381,1.9646657853245928,1.9357628237713778
D3,2.2312964755214044,2.1394623343232464,1.5117066922155593,2.207871832806856
S3,2.2254936239574095,2.179139758763375,1.6424095223463622,1.9758343471933968
JW1,2.2150846529400954,2.191416710885262,1.73892030107833,2.103091474639751
R4,2.2140965169648714,2.1729956394477483,1.7959790560544417,2.0241826591149317
FNE34,2.204302588402148,2.166167330116709,1.8035494266449414,1.9853183520599251
NL6,2.178259901055848,2.1589685070162568,1.7308429048214555,2.050948710805707
AP25,2.1688934977057386,2.129987074135187,1.7464586899525014,1.880036318238565
AP3,2.153423179114304,2.1269566492465515,1.6716386943437154,1.908959953903774
NL5,2.1474601859390687,2.135522459791844,1.8199503806706658,1.8464642411271626
NL2,2.109814272661112,2.0984322437257164,1.7430240630969451,1.9981062319443688
R6,2.092663625387818,2.0412317727799123,1.659077376704711,1.966440523038753
NL3,2.0925577517200753,2.079198314349431,1.7293713868117817,1.9060276037441677
ND1,2.076275844244592,2.0505419917329673,1.7267481735585704,1.9207801393768624
ND3,2.0467874734629654,2.0195373936580676,1.706819953832916,1.8575209132297203
NL4,2.0173703318930416,2.001716412914521,1.657216083069494,1.8886209589611158
FNE32,1.9519939119943575,1.9312435331322229,1.675679577087406,2.081919412814518
