Name,"CAM-B3LYP/6-311G(d,p)","bhandhlyp/6-311G(d,p)","PBE1PBE/6-311G(d,p)",Exp
FNE32,2.0388839101473146,2.0245789877911715,1.7609831824777225,2.081919412814518
R6,2.109814272661112,2.0487137503507795,1.617193386992132,1.966440523038753
NL4,2.1313773812416534,2.1201605639255927,1.8087285648194706,1.8886209589611158
AP3,2.1530121634464416,2.12346231652369,1.6944665565595858,1.908959953903774
NL3,2.194245645435734,2.1871676832078064,1.8610870680907325,1.9060276037441677
NL2,2.2126356925720025,2.2072434360990703,1.8754329827354874,1.9981062319443688
ND1,2.216311167144381,2.1890197763697925,1.8274823559419322,1.9207801393768624
ND3,2.2179750644170118,2.1952938148640406,1.9148518056133537,1.8575209132297203
R4,2.231015642766516,2.18009693238712,1.6631914349406247,2.0241826591149317
S3,2.2317780676237513,2.193974061173799,1.6525150426005213,1.9758343471933968
NL5,2.242385416169609,2.233786941091404,1.904594038338966,1.8464642411271626
NL6,2.2505195792825847,2.239309830245715,1.3831655352723284,2.050948710805707
FNE34,2.2793342335086764,2.251091181287446,1.9019665691341885,1.9853183520599251
TP1,2.2835709922105623,2.25047876167559,1.8367883027466223,2.1356694837133445
D3,2.3016582638424286,2.209719819132465,1.5494030893030482,2.207871832806856
HKK-BTZ4,2.3022561415271134,2.2357994342813314,1.702277300715378,2.297822166736024
AP25,2.304607956831138,2.2710323956978846,2.0235554559556626,1.880036318238565
JW1,2.3200777271557778,2.302298858961784,1.9107825464865769,2.103091474639751
SGT-136,2.3220749495423556,2.2317780676237513,1.6523830051235846,2.336768305155279
NL8,2.336988360556462,2.3344821832432516,1.9245637244078189,1.9758343471933968
D1,2.3372524817522526,2.285590027514696,1.7429750948692981,2.176884157960444
YZ15,2.3382214371218515,2.2567411200506577,1.8653397024014629,2.2601529508878926
NL12,2.3448494246413314,2.325818125655957,1.8890234906029488,2.1961486195353155
NL11,2.360327125808357,2.349333478562279,1.9495710178761483,2.176884157960444
NL13,2.3654116133927845,2.355711598043501,2.015829954247414,2.103091474639751
JD21,2.371832113232253,2.35517504040515,1.9040679639042049,2.131999948517961
YZ12,2.382443013013043,2.3140634640112148,1.9282124132297138,2.28512701664356
WS-55,2.398005507957354,2.3447164966694127,1.9707818650235116,2.2236988710348617
XY1,2.398932739226381,2.326472241562676,1.830744898767212,2.247869510937415
ND2,2.4033003487070568,2.378241978835154,2.1403111222918088,1.9357628237713778
DQ5,2.4133970709095833,2.361135580068224,1.9353401285794885,2.2684167642366604
NL7,2.4214979314575023,2.4087121365792856,2.006799129946877,2.106662088348817
C258,2.4234369837258125,2.346002098726538,1.8890234906029488,2.709222642003173
WS-6,2.445310624199305,2.4037659241329967,1.9467875332027758,2.2684167642366604
SGT-130,2.4767439869806847,2.3851449744102666,1.7221945759655974,2.411708396574253
ZL003,2.4883166286396605,2.4371456603175083,2.0311076427582675,2.3907976301299674
BTD-1,2.4955732387471152,2.4057699556729806,1.7571179319957706,2.4093669321115594
FNE52,2.501106549026331,2.4461301305789007,1.9031626277454112,2.358980931630139
C272,2.5286814143824197,2.442470709888298,1.9935477170358489,2.4234843164794007
NKX-2883,2.530125137713497,2.527393767262355,2.2236988710348617,2.247869510937415
TH304,2.5659125067981576,2.575712978032659,2.027059562572416,2.1845492430236852
IQ21,2.5662309108981085,2.5308992392711227,2.058468073520552,2.227691149079808
D-DAHTDTT,2.5908253190183386,2.5099602921705904,1.9856360538285376,2.8264782916570685
IQ6,2.62702765023914,2.5760873005116633,1.963857319274889,2.28512701664356
SGT-121,2.644608730018656,2.5859658004656922,1.9866851914716575,2.6372454198458093
Y123,2.648334087544988,2.6260824762697426,2.2034022978965324,2.4522212846589984
C218,2.6683238786233994,2.6472605607557886,2.207282700413507,2.2560435818862783
TTAR-B8,2.722239463893844,2.6775942902342487,2.2371700022310925,2.558399938221553
TTAR-15,2.743728927201161,2.693111017140802,2.24023970902985,2.4916143976655687
T-DAHTDTT,2.7492610064419676,2.6755158161102552,2.1020226495637018,2.8590414056162508
S-DAHTDTT,2.7532872612720025,2.673613380817611,2.106662088348817,2.8136597960032956
TPA-T-TTAR-T-A,2.7898103964688556,2.712005704625824,2.117013529716531,3.0044163923425016
C271,2.808374193779176,2.8032983982953104,2.5184679413778506,2.4425668701524668
IQ4,2.823648211445142,2.781804663238321,2.105804035770574,2.345602967934694
TTAR-9,2.838180127718962,2.7735967320952533,2.236121769755728,2.3907976301299674
TPA-T-TTAR-A,2.871214295717913,2.8198622140250738,2.272654621116988,3.0044163923425016
SGT-129,2.961747153687679,2.8539122545596705,1.9535305037036592,2.9127323240315803
TPA-TTAR-A,2.968762489323029,2.936722451096879,2.4161226926502324,2.4916143976655687
RR9,3.1206276596686613,3.08363520474528,2.477980528892146,3.109834511372063
AP14,3.1629466480689605,3.1498590359643925,2.6841394177499636,3.109834511372063
AP16,3.197505463169235,3.1647214089916678,2.394303739652387,3.2313124219725347
AP11,3.1992367411046874,3.176143471567955,2.733995747576188,3.291310265351335
AP17,3.275324596234434,3.2408492962035496,2.458586399646225,3.2739418734497447
QL4,3.36038989854422,3.337163062873038,3.037141035460661,3.2145698705633503
CC3,3.5013938993099307,3.4850690092052945,3.0730198871599717,3.291310265351335
